"cpv3","preco_total","count","mean","std","min","q1","q2","q3","max"
"764","19852830.84",4,"4963207.71","9273332.684273941","37740","50678.13","477495.42","5390025","18860100"
"448","3393487.46078125",81,"41894.90692322531","40413.89748959515","92.8","15843.3","32916","50000","200000"
"185","4623702.397519531",94,"49188.323377867346","120949.16876737568","513.5","7975","33800","60631.125","1163000"
"777","46000",4,"11500","1000","10000","11500","12000","12000","12000"
"441","80707681.76763183",1022,"78970.33441059866","103097.26083910823","0","19020.55","47169.515","100000","1000000"
"224","9580933.79133789",88,"108874.24762883967","303708.72978379816","0","8562.5","28522.645","74170.5025","1828311.2"
"158","207604961.7454068",1764,"117689.88761077484","733065.1335756032","0","7280","24067.240234375","78801.9375","24531000"
"189","2718870.377136841",55,"49434.00685703347","72334.7978044397","84.16999816894531","6599.8","17400","62016.75","354348"
"424","18892145.047421876",138,"136899.60179291214","289647.6069011045","455","44895","84000","136734.2","3200000"
"390","1750042.653046875",42,"41667.68221540179","66980.93583090094","0","4524.62","17010.75","41380.1725","365616.33"
"504","28226576.32178955",295,"95683.3095653883","257728.23209925235","0","7545.6150488281255","28380","82928.01171875","2368000"
"355","26653796.906389773",154,"173076.60328824527","1596508.2179403328","218.24000549316406","3020.0600244140624","7607.844951171875","22792.330078125","19799400"
"148","51000",1,"51000","NaN","51000","51000","51000","51000","51000"
"665","477009770.44896704",2414,"197601.3962091827","521282.2024864484","0","16998.94970703125","65557.73828125","159803.0375","11738184"
"395","11167461.962015381",244,"45768.286729571235","62003.084551514934","0","6679.7999267578125","24230","65623.75","602723.41"
"555","686139494.3298376",726,"945095.7222174071","3057331.6487093284","0","74551.3125","150304.421875","403768","34091214.86"
